competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1230,Eredivisie (NL),33276,0.0,Sava-Arangel Čestić,S. Čestić,0.5
1230,Eredivisie (NL),33504,0.5,Samir Lagsir,S. Lagsir,0.5
1230,Eredivisie (NL),33510,1.0,Gijs Smal,G. Smal,5.85
1230,Eredivisie (NL),33512,4.36,Kenneth Taylor,K. Taylor,9.36
1230,Eredivisie (NL),33523,0.8,Davy van den Berg ,D. van den Berg,2.6
1230,Eredivisie (NL),33530,5.07,David Min,D. Min,4.64
1230,Eredivisie (NL),33533,0.0,Casper Staring,C. Staring,1.0
1230,Eredivisie (NL),33978,0.16,Ahmetcan Kaplan,A. Kaplan,2.79
1230,Eredivisie (NL),34068,7.15,Ismael Saibari Ben El Basra,I. Saibari,11.5
1230,Eredivisie (NL),34069,0.55,Mathias Ullereng Kjølø,M. Kjølø,2.73
1230,Eredivisie (NL),34087,2.38,Victor Jensen,V. Jensen,8.5
1230,Eredivisie (NL),34211,5.04,Thijs Oosting,T. Oosting,9.08
1230,Eredivisie (NL),34253,2.3,Isak Steiner Jensen,I. Jensen,5.39
1230,Eredivisie (NL),34371,4.5,Daan Rots,D. Rots,7.42
1230,Eredivisie (NL),34486,1.0,Rober González Bayón,Rober González,1.5
1230,Eredivisie (NL),34624,0.08,Max Bruns,M. Bruns,2.08
1230,Eredivisie (NL),35170,1.77,Peer Koopmeiners,P. Koopmeiners,5.86
1230,Eredivisie (NL),35871,0.25,Syb van Ottele,S. van Ottele,0.12
1230,Eredivisie (NL),37094,1.55,Kiliann Sildillia,K. Sildillia,4.64
1230,Eredivisie (NL),37354,1.0,Noah Ohio,N. Ohio,0.0
1230,Eredivisie (NL),37917,0.2,Oussama Targhalline,O. Targhalline,3.73
1230,Eredivisie (NL),38007,0.91,Denso Kasius,D. Kasius,7.91
1230,Eredivisie (NL),38009,0.82,Alex Plat,A. Plat,1.55
1230,Eredivisie (NL),38014,1.11,Derry Murkin,D. Murkin,3.44
1230,Eredivisie (NL),38015,0.25,Calvin Twigt,C. Twigt,2.33
1230,Eredivisie (NL),38016,0.0,Mike Eerdhuijzen,M. Eerdhuijzen,0.0
1230,Eredivisie (NL),38022,0.89,Dean James,D. James,6.11
1230,Eredivisie (NL),38050,8.12,Koen Kostons,K. Kostons,7.92
1230,Eredivisie (NL),38064,4.43,Kaj de Rooij,K. de Rooij,6.87
1230,Eredivisie (NL),38087,0.69,Edouard Michut,E. Michut,6.0
1230,Eredivisie (NL),39628,1.14,Souffian El Karouani,S. El Karouani,6.14
1230,Eredivisie (NL),39629,1.52,Bart van Rooij,B. van Rooij,4.7
1230,Eredivisie (NL),39634,0.87,Dirk Proper,D. Proper,4.2
1230,Eredivisie (NL),39640,2.0,Naci Ünüvar,N. Ünüvar,4.64
1230,Eredivisie (NL),39642,0.14,Neraysho Kasanwirjo,N. Kasanwirjo,1.86
1230,Eredivisie (NL),39645,1.82,Quinten Ryan Crispito Timber Maduro,Q. Timber,4.47
1230,Eredivisie (NL),39648,0.05,Rio Hillen,R. Hillen,0.85
1230,Eredivisie (NL),39662,0.52,Ilias Bronkhorst,I. Bronkhorst,2.65
1230,Eredivisie (NL),39689,0.75,Anass Salah-Eddine,A. Salah-Eddine,5.42
1230,Eredivisie (NL),39715,3.85,Ringo Meerveld,R. Meerveld,10.0
1230,Eredivisie (NL),39755,2.56,Taylor Booth,T. Booth,7.11
1230,Eredivisie (NL),39796,1.77,Arno Verschueren,A. Verschueren,3.91
1230,Eredivisie (NL),40738,2.0,Yoann  Cathline,Y. Cathline,6.5
1230,Eredivisie (NL),41212,0.53,Lucas Oliveira Rosa,Lucas Rosa,5.71
1230,Eredivisie (NL),42619,0.33,Silvinho Randy Esajas,S. Esajas,0.33
1230,Eredivisie (NL),42842,0.1,Youri Baas,Y. Baas,0.7
1230,Eredivisie (NL),42843,0.19,Gibson Osahumen Yah,G. Yah,4.31
1230,Eredivisie (NL),42844,0.58,Kian Fitz-Jim,K. Fitz-Jim,4.67
1230,Eredivisie (NL),42847,2.54,Mats Deijl,M. Deijl,5.08
1230,Eredivisie (NL),42854,2.47,Lance Duijvestijn,L. Duijvestijn,8.24
1230,Eredivisie (NL),42859,0.93,Djevencio van der Kust,D. van der Kust,5.86
1230,Eredivisie (NL),43286,0.25,Giovanni van Zwam,G. van Zwam,1.0
1230,Eredivisie (NL),45609,1.0,Willum Thór  Willumsson,W. Willumsson,1.67
1230,Eredivisie (NL),47443,2.15,Zico  Buurmeester,Z. Buurmeester,5.15
1230,Eredivisie (NL),49603,6.94,Brynjolfur Andersen Willumsson,B. Willumsson,3.47
1230,Eredivisie (NL),54524,0.0,Fredrik Oldrup Jensen,F. Oldrup Jensen,0.0
1230,Eredivisie (NL),54556,1.7,Oskar  Siira Sivertsen,O. Sivertsen,4.6
1230,Eredivisie (NL),54942,2.2,Ángel Alarcón Galiot,Ángel Alarcón,7.0
1230,Eredivisie (NL),60699,6.83,Lasse Selvåg Nordås,L. Nordås,6.5
1230,Eredivisie (NL),61132,8.27,Victor Edvardsen,V. Edvardsen,5.13
1230,Eredivisie (NL),61134,0.0,Adam Carlén,A. Carlén,0.72
1230,Eredivisie (NL),61167,6.67,Erik Ahlstrand,E. Ahlstrand,10.33
1230,Eredivisie (NL),61258,2.5,Rui Jorge Monteiro Mendes,Rui Mendes,1.0
1230,Eredivisie (NL),61286,0.09,Mawouna Kodjo Amevor,M. Amevor,0.5
1230,Eredivisie (NL),61296,0.09,Damon Mirani,D. Mirani,1.09
1230,Eredivisie (NL),61298,0.5,Milan de Haan,M. de Haan,0.5
1230,Eredivisie (NL),61321,3.42,Kay Tejan,K. Tejan,2.32
1230,Eredivisie (NL),61614,1.26,Philip Brittijn,P. Brittijn,2.91
1230,Eredivisie (NL),61659,6.0,Mathis Suray,M. Suray,7.95
1230,Eredivisie (NL),61667,2.05,Mohamed Nassoh,M. Nassoh,6.55
1230,Eredivisie (NL),61731,0.48,Yannick Leliendal,Y. Leliendal,4.48
1230,Eredivisie (NL),61732,0.0,Stan Henderikx,S. Henderikx,0.44
1230,Eredivisie (NL),61733,3.0,Levi Smans,L. Smans,6.0
1230,Eredivisie (NL),61747,5.35,Kristian Nökkvi Hlynsson,K. Hlynsson,12.83
1230,Eredivisie (NL),61762,0.0,Alexandre Manuel Penetra Correia,Alexandre Penetra,0.08
1230,Eredivisie (NL),61835,0.0,Maxim Dekker,M. Dekker,0.2
1230,Eredivisie (NL),61838,4.47,Richonell Margaret,R. Margaret,5.94
1230,Eredivisie (NL),61847,0.33,Stije Resink,S. Resink,3.76
1230,Eredivisie (NL),61852,0.09,Rick Meissen,R. Meissen,0.52
1230,Eredivisie (NL),61853,3.96,Derensili Sanches Fernandes,D. Sanches Fernandes,7.13
1230,Eredivisie (NL),61935,6.0,Ernest Poku,E. Poku,6.0
1230,Eredivisie (NL),61943,0.0,Julian Baas,J. Baas,1.94
1230,Eredivisie (NL),62074,0.82,Lennard  Hartjes,L. Hartjes,3.55
1230,Eredivisie (NL),62179,3.1,Luuk Brouwers,L. Brouwers,5.95
1230,Eredivisie (NL),62181,2.18,Boyd Lucassen,B. Lucassen,3.24
1230,Eredivisie (NL),62294,0.0,Julius Dirksen,J. Dirksen,0.29
1230,Eredivisie (NL),62297,1.0,Amourricho van Axel Dongen ,A. van Axel Dongen,1.14
1230,Eredivisie (NL),62300,0.0,Devon Koswal,D. Koswal,1.38
1230,Eredivisie (NL),62315,1.0,Mees De Wit,M. de Wit,4.3
1230,Eredivisie (NL),63199,0.5,Mathijs Tielemans,M. Tielemans,2.0
1230,Eredivisie (NL),63322,1.0,Casper Terho,C. Terho,3.5
1230,Eredivisie (NL),63370,5.73,Milan Zonneveld,M. Zonneveld,4.05
1230,Eredivisie (NL),63440,0.69,Mimeirhel  Benita ,M. Benita,1.88
1230,Eredivisie (NL),64211,0.0,Hristiyan Petrov,H. Petrov,1.0
1230,Eredivisie (NL),65096,6.39,Jacob Trenskow,J. Trenskow,10.74
1230,Eredivisie (NL),67577,0.06,Xavier Mbuyamba,X. Mbuyamba,0.5
1230,Eredivisie (NL),67773,3.6,Lequincio Zeefuik,L. Zeefuik,2.73
1230,Eredivisie (NL),69071,0.0,Oualid Agougil,O. Agougil,2.5
1230,Eredivisie (NL),69074,0.33,Mike Kleijn,M. Kleijn,3.22
1230,Eredivisie (NL),69078,0.0,Thijmen Blokzijl,T. Blokzijl,0.45
1230,Eredivisie (NL),69081,2.67,Jaden Slory,J. Slory,6.25
1230,Eredivisie (NL),69223,5.23,Younes Taha El Idrissi,Y. Taha,11.05
