competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1194,Jupiler Pro League (BE),29731,Tobias Okiki Lawal,T. Lawal,2000-06-07,98.37,31.95,23.5,18,17,1,485.0,28.53,21.59,75.67,0.06,0.0,3.69,2.83,297.0,17.47,14.53,83.16,0.06,0.06,100.0,17.24,65.0,3.82,2.94,2.88,2.29,0.0,0.0,0.0,,76.92,79.59,0.0,0.0,0.0,0.0,0.0,0.0,,0.18,0.06,33.33,0.29,0.18,60.0,0.0,0.0
1194,Jupiler Pro League (BE),29800,Henry Lawrence,H. Lawrence,2001-09-21,88.52,21.0,26.18,30,30,0,913.0,30.43,21.9,71.96,1.4,0.1,4.93,1.72,564.0,18.8,14.57,77.48,1.03,0.4,38.71,16.83,194.0,6.47,4.53,2.73,1.87,0.7,0.3,0.13,44.44,70.1,68.29,0.13,1.47,0.13,0.43,0.43,0.2,46.15,1.53,0.2,13.04,2.37,0.5,21.13,0.27,11.27
1194,Jupiler Pro League (BE),29925,Anthony Descotte,A. Descotte,2003-08-03,37.56,11.04,8.32,3,3,0,9.0,3.0,1.33,44.44,0.0,0.0,7.4,1.83,5.0,1.67,0.67,40.0,1.0,0.0,0.0,1.0,3.0,1.0,0.67,0.33,0.0,0.33,0.0,0.0,,66.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.33,33.33,0.0,0.0
1194,Jupiler Pro League (BE),29930,Anton Tanghe,A. Tanghe,1999-01-28,86.09,21.54,26.31,21,21,0,804.0,38.29,31.48,82.21,0.9,0.14,4.37,1.68,558.0,26.57,23.43,88.17,0.29,0.1,33.33,25.14,140.0,6.67,5.76,2.76,2.48,0.57,0.05,0.0,0.0,86.43,89.66,0.1,0.1,0.0,0.05,0.48,0.29,60.0,0.29,0.0,0.0,0.57,0.1,16.67,0.0,0.0
1194,Jupiler Pro League (BE),29933,Wouter George,W. George,2002-03-03,52.6,12.79,14.56,24,23,1,465.0,20.22,14.3,70.75,1.35,0.09,4.79,1.43,266.0,11.57,9.0,77.82,0.91,0.48,52.38,9.22,87.0,3.78,2.91,1.61,1.17,0.7,0.57,0.43,76.92,77.01,72.97,0.57,2.22,0.09,0.52,0.04,0.04,100.0,1.43,0.35,24.24,2.61,0.48,18.33,0.39,15.0
1194,Jupiler Pro League (BE),29935,Daan Heymans,D. Heymans,1999-06-15,81.5,25.5,21.17,31,31,0,1154.0,37.23,28.42,76.34,4.06,0.35,3.36,1.11,840.0,27.1,22.13,81.67,3.19,1.74,54.54,18.81,148.0,4.77,3.71,1.9,1.42,0.74,0.42,0.39,92.31,77.7,74.58,0.58,2.94,0.48,0.13,0.16,0.1,60.0,4.9,0.68,13.82,7.55,0.65,8.55,1.26,16.67
1194,Jupiler Pro League (BE),29949,Laurent Lemoine,L. Lemoine,1998-04-24,84.17,21.65,23.56,22,22,0,852.0,38.73,31.73,81.93,0.68,0.09,4.23,1.69,563.0,25.59,22.91,89.52,0.41,0.23,55.56,24.27,128.0,5.82,4.32,2.18,1.82,0.73,0.18,0.14,75.0,74.22,83.33,0.14,0.41,0.0,0.05,0.59,0.32,53.85,0.64,0.05,7.14,0.86,0.36,42.1,0.0,0.0
1194,Jupiler Pro League (BE),30207,Tommy St. Jago,T. St. Jago,2000-01-03,89.85,23.32,23.59,28,27,1,1367.0,50.63,42.26,83.47,0.67,0.04,3.52,1.49,979.0,36.26,32.33,89.17,0.81,0.44,54.55,33.81,165.0,6.11,5.15,3.22,2.85,0.74,0.15,0.07,50.0,84.24,88.5,0.07,0.48,0.0,0.04,0.41,0.15,36.36,1.19,0.0,0.0,2.07,0.74,35.71,0.04,1.79
1194,Jupiler Pro League (BE),30606,Aiham Ousou,Aiham Ousou,2000-01-09,96.17,25.47,25.73,39,39,0,1803.0,46.23,38.44,83.14,1.79,0.18,5.25,1.89,1163.0,29.82,27.03,90.63,0.36,0.13,35.71,27.15,387.0,9.92,8.44,4.95,4.38,0.97,0.44,0.41,94.12,85.01,88.6,0.05,0.62,0.05,0.23,0.64,0.46,72.0,0.44,0.03,5.88,0.72,0.15,21.43,0.21,28.57
1194,Jupiler Pro League (BE),30782,Filip Szymczak,F. Szymczak,2002-05-06,21.02,6.13,4.88,19,19,0,98.0,5.16,2.95,57.14,0.84,0.0,6.61,1.89,64.0,3.37,2.05,60.94,0.95,0.42,44.44,1.58,31.0,1.63,0.89,1.05,0.58,0.21,0.21,0.11,50.0,54.84,55.0,0.16,0.26,0.32,0.11,0.21,0.11,50.0,1.21,0.16,13.04,1.74,0.47,27.27,0.42,24.24
1194,Jupiler Pro League (BE),30787,Lukasz Lakomy,L. Łakomy,2001-01-18,71.19,16.96,19.33,31,30,1,949.0,31.63,21.73,68.7,3.23,0.27,3.49,1.19,532.0,17.73,13.17,74.25,1.0,0.37,36.67,14.73,111.0,3.7,2.47,2.27,1.43,0.7,0.4,0.2,50.0,66.67,63.24,0.6,1.37,0.17,0.37,0.27,0.17,62.5,1.53,0.17,10.87,2.6,0.67,25.64,0.27,10.26
1194,Jupiler Pro League (BE),32028,Toluwalase Emmanuel Arokodare,T. Arokodare,2000-11-23,27.35,8.09,4.9,4,4,0,35.0,8.75,4.75,54.29,1.75,0.5,6.5,1.62,30.0,7.5,4.25,56.67,4.0,2.0,50.0,1.5,8.0,2.0,1.75,1.25,1.0,0.75,0.25,0.0,0.0,87.5,80.0,0.5,0.25,0.75,0.0,0.0,0.0,,5.0,0.0,0.0,6.0,0.75,12.5,1.25,20.83
1194,Jupiler Pro League (BE),32251,Sekou Sidibe,S. Sidibe,2001-05-05,34.33,7.37,11.09,5,5,0,43.0,8.6,4.8,55.81,0.8,0.0,8.85,2.77,27.0,5.4,3.8,70.37,0.2,0.0,0.0,5.2,14.0,2.8,1.4,1.8,0.6,0.8,0.6,0.0,0.0,50.0,33.33,0.0,0.6,0.0,0.6,0.4,0.2,50.0,0.6,0.2,33.33,1.4,0.6,42.86,0.4,28.57
1194,Jupiler Pro League (BE),32273,Warleson Stellion Lisboa Oliveira,Warleson,1996-08-31,90.99,20.46,24.98,19,19,0,357.0,18.79,10.32,54.9,0.11,0.05,4.7,3.73,194.0,10.21,6.58,64.43,0.0,0.0,,9.53,70.0,3.68,1.89,2.47,1.37,0.0,0.0,0.0,,51.43,55.32,0.0,0.0,0.0,0.0,0.11,0.05,50.0,0.05,0.05,100.0,0.21,0.0,0.0,0.0,0.0
