competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1396,Eliteserien (NO),817179,Martin Hellan,M. Hellan,2003-08-17,29.5,10.49,7.53,5,5,0,63.0,12.6,0.4,3.17,1.0,7.94,0.0,0.0,0.2,1.58,1.6,0.6,4.76,0.4,3.17,0.8,6.35,2.4,1.8,3.2,3.8,0.6,5.43,0.0,0.0
1396,Eliteserien (NO),817183,Ruben Kristensen Alte,R. Alte,2000-02-28,71.21,20.36,20.36,12,12,0,512.0,42.67,1.0,2.34,5.0,11.72,0.17,0.39,1.33,3.12,7.0,3.75,8.79,0.25,0.59,0.83,1.95,17.92,9.75,15.75,7.58,0.33,1.54,5.0,11.72
1396,Eliteserien (NO),817184,Wilfred George Igor,W. Igor,2005-02-20,95.32,24.64,31.15,16,16,0,834.0,52.12,2.25,4.32,6.75,12.95,0.5,0.96,2.38,4.56,7.31,3.94,7.55,0.44,0.84,1.44,2.76,12.94,7.56,13.06,18.88,3.25,7.09,5.06,9.71
1396,Eliteserien (NO),817185,Håkon Sjåtil,H. Sjåtil,2002-12-27,68.25,19.01,20.33,14,14,0,438.0,31.29,1.29,4.11,7.21,23.06,0.21,0.68,1.71,5.48,2.43,1.5,4.79,0.43,1.37,0.71,2.28,5.86,4.5,8.86,11.57,2.14,7.34,1.86,5.94
1396,Eliteserien (NO),817186,Sondre Sørløkk,S. Sørløkk,1997-05-08,83.09,23.66,24.22,11,11,0,340.0,30.91,1.18,3.82,4.36,14.12,0.36,1.18,1.09,3.53,5.45,3.36,10.88,0.36,1.18,0.45,1.47,7.82,3.09,11.55,6.82,1.18,4.56,1.82,5.88
1396,Eliteserien (NO),817187,Philip Sandvik Aukland,P. Aukland,1998-12-30,79.34,20.72,24.3,5,5,0,84.0,16.8,0.6,3.57,3.6,21.43,0.2,1.19,0.8,4.76,3.2,0.2,1.19,0.8,4.76,0.2,1.19,2.0,3.0,2.4,8.8,2.4,14.48,0.0,0.0
1396,Eliteserien (NO),817287,Victor Emanuel Halvorsen,V. Halvorsen,2004-07-03,69.96,17.14,22.06,16,16,0,692.0,43.25,1.31,3.04,7.19,16.62,0.12,0.29,1.94,4.48,5.5,3.06,7.08,0.44,1.01,0.19,0.43,12.12,7.81,11.56,10.5,1.06,3.19,4.25,9.83
1396,Eliteserien (NO),817290,Håkon Singsdal Volden,H. Volden,2007-05-25,73.32,19.19,21.31,6,5,1,57.0,11.4,0.4,3.51,3.6,31.58,0.4,3.51,0.2,1.75,2.6,0.0,0.0,0.8,7.02,0.0,0.0,1.2,0.8,1.6,7.4,2.0,20.16,0.2,1.75
1396,Eliteserien (NO),817291,Loris Mettler,L. Mettler,1998-12-14,62.93,19.14,20.07,8,8,0,380.0,47.5,0.5,1.05,6.0,12.63,0.38,0.79,2.25,4.74,5.88,3.75,7.9,0.12,0.26,1.0,2.1,8.75,9.25,12.62,13.0,1.25,2.66,6.75,14.21
1396,Eliteserien (NO),817452,Alexander Thongla-Iad Warneryd,A. Thongla-Iad Warneryd,2005-08-21,85.78,26.23,26.4,13,13,0,593.0,45.62,1.0,2.19,6.62,14.5,0.54,1.18,2.38,5.23,4.08,5.0,10.96,0.46,1.01,0.31,0.68,16.54,7.23,18.92,8.69,2.08,4.98,3.69,8.09
1396,Eliteserien (NO),817660,Momodou Njie,M. Njie,2001-12-10,35.99,8.44,12.18,5,5,0,29.0,5.8,0.4,6.9,2.4,41.38,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.2,3.45,0.4,0.8,1.0,3.8,0.8,15.94,0.2,3.45
1396,Eliteserien (NO),817661,Emil Gundelach Ødegaard,E. Ødegaard,1999-04-29,99.99,24.99,33.09,8,8,0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1396,Eliteserien (NO),817662,Mathias Tønnessen,M. Tønnessen,2003-11-22,42.35,11.41,14.24,5,5,0,103.0,20.6,0.6,2.91,3.4,16.51,0.0,0.0,0.6,2.91,3.6,1.6,7.77,0.4,1.94,0.6,2.91,7.6,3.4,7.8,7.4,0.8,3.45,1.8,8.74
1396,Eliteserien (NO),817665,William Osnes-Ringen,W. Osnes-Ringen,2006-11-13,36.25,10.56,10.96,12,12,0,344.0,28.67,0.67,2.33,3.25,11.34,0.17,0.58,0.83,2.91,4.83,2.92,10.17,0.08,0.29,0.67,2.33,8.17,6.75,6.92,7.5,1.08,4.69,3.42,11.92
1396,Eliteserien (NO),818219,Sondre Milian Granaas,S. Granaas,2006-08-30,70.57,23.04,17.94,14,14,0,668.0,47.71,1.14,2.39,7.21,15.12,0.43,0.9,1.86,3.89,7.5,2.86,5.99,0.07,0.15,0.29,0.6,18.29,10.07,17.5,7.79,1.07,2.45,4.14,8.68
1396,Eliteserien (NO),818221,Haakon  Haugen,H. Haugen,2007-01-10,47.52,12.15,15.5,12,12,0,304.0,25.33,0.67,2.63,3.08,12.17,0.25,0.99,1.0,3.95,3.5,2.42,9.54,0.17,0.66,0.58,2.3,6.75,4.0,7.58,7.33,0.92,4.11,2.33,9.21
1396,Eliteserien (NO),818222,Villads Schmidt Nielsen,V. Nielsen,2005-01-29,17.0,9.01,3.06,2,2,0,3.0,1.5,0.0,0.0,1.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
