competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1171,Ekstraklasa (PL),173110,1.55,Dominik Kun,D. Kun,2.59,0.5,0.64,2.41,0.73,9.5,2.82,4.27,1.59
1171,Ekstraklasa (PL),173113,0.12,Steve Kapuadi,S. Kapuadi,0.25,0.12,0.62,0.5,0.06,0.19,0.75,1.06,3.62
1171,Ekstraklasa (PL),173115,1.44,Dominik Piła,D. Piła,1.22,1.44,0.56,0.5,0.06,4.28,1.61,2.83,2.11
1171,Ekstraklasa (PL),173117,1.47,Roberto Emanuel Oliveira Alves,Roberto Alves,0.58,0.32,0.58,3.21,0.42,3.42,1.63,4.68,0.79
1171,Ekstraklasa (PL),173425,4.11,Patryk Makuch,P. Makuch,2.72,0.11,0.5,1.83,0.56,5.78,0.94,0.61,0.06
1171,Ekstraklasa (PL),179310,1.38,Oskar Leśniak,O. Leśniak,2.0,0.38,0.62,2.69,0.38,5.25,1.62,2.94,1.0
1171,Ekstraklasa (PL),180844,0.29,Gabriel Isik,G. Isik,0.19,0.33,0.76,0.43,0.0,1.86,0.43,4.19,2.24
1171,Ekstraklasa (PL),184825,0.0,Bartłomiej Smolarczyk,B. Smolarczyk,0.21,0.0,0.29,0.29,0.07,0.43,0.64,1.0,2.0
1171,Ekstraklasa (PL),184946,0.0,Roman Yakuba,R. Yakuba,0.19,0.48,0.67,0.19,0.05,0.95,1.05,1.86,3.29
1171,Ekstraklasa (PL),187412,1.31,Dijon Kameri,D. Kameri,0.92,0.0,0.46,1.08,0.62,2.15,1.31,0.92,0.23
1171,Ekstraklasa (PL),188250,1.33,Gabriel Barbosa Avelino,Gabriel Barbosa,1.0,0.0,0.0,0.0,0.33,1.33,0.0,0.0,0.0
1171,Ekstraklasa (PL),240244,0.0,Timothy Noor Ouma,T. Ouma,0.07,0.21,0.07,5.29,0.29,1.07,0.36,2.93,0.64
1171,Ekstraklasa (PL),247898,5.0,Christopher Serge Simon,C. Simon,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1171,Ekstraklasa (PL),257440,2.88,Ermal Krasniqi,E. Krasniqi,1.47,1.71,0.82,1.24,0.71,6.65,3.06,2.29,0.65
1171,Ekstraklasa (PL),285199,3.25,Ousmane Sow,O. Sow,2.38,0.81,0.5,0.81,0.38,9.0,3.19,1.75,0.62
1171,Ekstraklasa (PL),301896,0.0,Slobodan Rubežić,S. Rubežić,0.67,0.0,0.0,0.0,0.0,1.67,0.33,2.67,2.33
1171,Ekstraklasa (PL),310202,2.38,Lukáš Ambros,L. Ambros,4.06,0.38,1.0,4.25,1.62,4.69,2.06,5.56,0.38
1171,Ekstraklasa (PL),326209,0.14,Miłosz Strzeboński,M. Strzeboński,0.0,0.14,0.0,0.29,0.14,0.14,0.14,2.0,0.43
1171,Ekstraklasa (PL),330208,0.48,Filip Kocaba,F. Kocaba,1.1,0.19,0.24,5.0,0.19,2.48,1.71,3.62,2.1
1171,Ekstraklasa (PL),395538,0.0,Salifou Soumah,S. Soumah,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1171,Ekstraklasa (PL),458603,0.0,Dominick Zator,D. Zator,0.0,0.8,0.4,0.0,0.1,1.6,0.5,3.3,4.5
1171,Ekstraklasa (PL),471019,2.0,Mathias Dahl Sauer,M. Sauer,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
1171,Ekstraklasa (PL),514492,0.0,Guilherme Manuel Serrão Montóia,Guilherme Montóia,0.0,0.33,0.0,0.33,0.0,0.33,0.0,2.67,2.67
1171,Ekstraklasa (PL),516908,5.75,Ivan Durdov,I. Durdov,3.0,0.0,0.0,0.25,0.0,2.75,0.0,0.0,0.0
1171,Ekstraklasa (PL),526175,8.86,Mileta Rajović,M. Rajović,8.05,0.0,0.1,1.48,1.14,4.14,0.05,0.38,0.0
1171,Ekstraklasa (PL),530304,1.82,Adrian Przyborek,A. Przyborek,2.18,0.41,0.76,4.24,1.18,4.41,2.18,3.18,0.71
1171,Ekstraklasa (PL),530713,2.17,Szczepan Mucha,S. Mucha,1.0,0.17,0.83,0.33,0.17,1.33,0.0,0.33,0.0
1171,Ekstraklasa (PL),531601,1.56,Diego Pertejo Canseco,Diego Percan,2.22,0.11,0.11,2.33,0.67,2.56,0.11,0.44,0.22
1171,Ekstraklasa (PL),549335,3.0,Pau  Sans López,Pau Sans,2.75,0.5,0.75,2.25,0.0,7.75,1.0,2.0,0.25
1171,Ekstraklasa (PL),574480,0.33,Mitja Ilenič,M. Ilenič,0.0,0.33,0.0,0.0,0.0,3.0,0.33,0.0,0.0
1171,Ekstraklasa (PL),578959,0.0,Filip Rejczyk,F. Rejczyk,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
1171,Ekstraklasa (PL),590460,0.16,Michał Gurgul,M. Gurgul,0.16,2.47,2.11,0.16,0.0,5.26,1.47,5.84,4.89
1171,Ekstraklasa (PL),671394,0.0,Dominik Szala,D. Szala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,Ekstraklasa (PL),671397,0.5,Igor Orlikowski,I. Orlikowski,1.1,0.6,0.2,0.1,0.0,2.0,1.7,2.9,2.2
1171,Ekstraklasa (PL),672253,6.0,Wiktor Bogacz,W. Bogacz,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1171,Ekstraklasa (PL),687053,0.8,Jakub Kolan,J. Kolan,0.5,0.1,0.2,4.2,0.7,2.9,1.5,3.4,1.2
1171,Ekstraklasa (PL),687055,0.68,Mateusz  Kowalczyk,M. Kowalczyk,1.21,0.21,0.32,6.53,0.37,4.05,0.47,3.11,2.05
1171,Ekstraklasa (PL),687634,0.33,Beno Selan,B. Selan,0.0,0.33,0.0,1.0,0.0,1.33,1.0,1.33,0.67
1171,Ekstraklasa (PL),698179,1.17,Ibrahima Seck,I. Seck,0.67,0.33,0.33,2.67,0.17,5.5,1.33,2.83,1.33
1171,Ekstraklasa (PL),715436,0.0,Marek Mróz,M. Mróz,1.0,0.5,0.0,1.0,0.0,3.0,2.0,1.5,0.5
1171,Ekstraklasa (PL),715441,0.36,Tomasz  Wójtowicz,T. Wójtowicz,0.45,1.27,0.64,0.64,0.18,6.36,2.09,4.27,1.45
1171,Ekstraklasa (PL),716758,0.95,Martin Remacle,M. Remacle,1.67,0.52,0.33,4.24,0.57,4.86,0.48,7.19,1.14
1171,Ekstraklasa (PL),717011,0.35,Marcel Pięczek,M. Pięczek,0.6,1.15,0.55,0.25,0.05,1.6,0.5,1.65,1.6
1171,Ekstraklasa (PL),719453,2.08,João Pedro Abreu De Oliveira,J. Oliveira,1.17,0.25,0.5,2.83,0.17,4.5,1.33,0.83,0.33
1171,Ekstraklasa (PL),729987,1.5,Bogdan Mirčetić,B. Mirčetić,0.5,0.0,0.5,1.0,0.25,2.75,0.75,1.75,0.25
