id,name,coach,stadium.id,stadium.name,stadium.city,stadium.capacity,stadium
2833,FC Blau-Weiß Linz,,2611.0,Hofmann-Personal Stadion,Linz,2000.0,
2713,"China PR U17, Women",,1787.0,Bird's Nest,Beijing,91000.0,
2842,Pyramids Al Ahram FC,,579.0,30 June,Cairo,30000.0,
2718,Keçiörengücü Ankara,,2384.0,Ankara Aktepe,Ankara,4880.0,
2847,Belgium Under 17,,611.0,Stade Roi Baudouin,Bruxelles,,
2584,"Spain U19, Women",,684.0,Estadio Alfredo Di Stefano,Madrid,8400.0,
2792,Norway U19,,108.0,Ullevaal Stadion,Oslo,25572.0,
2784,Turkey U21,,2068.0,Fulya Hakki Yeten Facility,Istanbul,,
2684,Nicaragua U20,,445.0,Nicaragua National Football Stadium,Managua,15000.0,
5256,"Club Atlético San Lorenzo de Almagro, Women",,1212.0,Estadio Pedro Bidegain,Flores,39494.0,
2614,"Ghana U20, Women",,2251.0,Alejandro Morera Soto,Alajuela,,
3234,SC União Torreense,,2915.0,Campo Manuel Marques,Torres Vedras,12000.0,
3065,"Puerto Rico U20, Women",,2778.0,Estadio Panamericano,San Cristóbal,2800.0,
3069,FC Zimbru Chişinău,,570.0,Zimbru,Chisinau,10500.0,
3071,FC Neman Grodno,,2779.0,Stadium Neman,Hrodna,8500.0,
3072,Chengdu Rongcheng FC,,2780.0,Chengdu Phoenix Mountain Sports Park,Chengdu,60000.0,
3085,"Tunisia, Women",,1965.0,Stade Olympique Hammadi Agrebi,Tunis,,
3089,Bulgaria Under 21,,369.0,Balgarska Armiya Stadium,Sofia,22015.0,
3165,Al Akhdoud,,2848.0,Prince Hathloul Stadium,Najran,2800.0,
3201,ZP Sport Podbrezová,,2882.0,ZELPO Aréna,Podbrezová,4000.0,
3244,Hajer Club,,2923.0,Hajer Club Stadium,Al-Hufuf,10000.0,
3255,Hatta Club,,2201.0,Al-Maktoum Stadion,Dubaï,,
2703,"Canada U17, Women",,627.0,BMO Field,Toronto,30000.0,
3266,SD Tarazona,,2937.0,Municipal de Tarazona,Tarazona,2500.0,
5306,Ayutthaya United FC,,7321.0,Ayutthaya Province Stadium,Ayutthaya,6000.0,
5307,Luxembourg U21,,7330.0,Stade de Luxembourg,Luxembourg,9386.0,
4526,Sportfreunde Siegen von 1899 Under 19,,5462.0,Leimbachstadion,Siegen,18716.0,
3394,New Caledonia Under 17,,1345.0,Estadio Municipal Nicolás Chahuán Nazar,La Calera,9200.0,
5348,Shelbourne FC U19,,3224.0,Tolka Park,Dublin,5700.0,
1507,Nashville,,2178.0,Geodis Park,Nashville,30000.0,
5371,FC Famalicão Under 19,,5632.0,Complexo Desportivo FC Famalicão - Campo 2,Vila Nova de Famalicão,2000.0,
5394,Shakhtyor Karagandy U16,,7475.0,Zentralstadion Shakhter,Karaganda,19500.0,
5418,FK Qo'qon 1912,,7490.0,Kokand Markaziy Stadium,Kokand,10500.0,
2824,Randers FC U19,,8097.0,Randers Stadion Kunstgræsbane,Randers,,
2786,Red Bull Bragantino U20,,8100.0,Centro de Performance e Desenvolvimento (CPD),Atibaia,,
303,FC Lausanne-Sports,,2180.0,Stade de la Tuilière,,,
2171,AmaZulu FC,,1710.0,Moses Mabhida Stadion,Durban,65000.0,
3301,Cliftonville Ladies,,383.0,Solitude,Belfast,6224.0,
2508,Walsall FC,,2078.0,Bescot Stadium,Walsall,11300.0,
5204,Talenttiklubi 04 (HJK Helsinki II),,197.0,Telia 5G -areena,Helsinki,10770.0,
2517,Debreceni VSC,,2190.0,Nagyerdei Stadion,Debrecen,,
2009,UD Cornella,,3007.0,Ciutat Esportiva Dani Jarque,,,
2770,Monterey Bay FC,,2431.0,Cardinale Stadium,Seaside,6000.0,
236,FC Penafiel,,1812.0,Estadio Municipal 25 de Abril,Penafiel,5230.0,
2539,Club Atlético Cerro,,2208.0,Estadio Luis Tróccoli,Montevideo,,
2774,Austin Bold FC,,2434.0,Bold Stadium,Del Valle,5036.0,
2551,FK Botev Plovdiv,,2217.0,Sporten kompleks Botev 1912 Komatevo,Plovdiv,,
2562,FC Winterthur,,2228.0,Schützenwiese,Winterthur,,
2777,Manchester City U21,,1835.0,Academy Stadium,Manchester,7000.0,
2581,"Netherlands U17, Women",,1392.0,Sportpark de Toekomst,Amsterdam,2000.0,
2097,Manchester United U19,,1670.0,Leigh Sports Village,Leigh,4775.0,
4754,FC Gareji Sagarejo,,6300.0,Mikheil Meskhi 2,Tbilissi,2500.0,
2598,"ŽFK Ljuboten, Women",,215.0,Ecolog Arena,Tetovo,15000.0,
4045,North District FC,,3647.0,North District Sports Ground,Hong-Kong,2500.0,
4790,"FK Bodø   Glimt, Women",,1459.0,Aspmyra Stadion,Bodo,7354.0,
2631,Deportivo Guastatoya,,2257.0,Estadio David Cordón Hichos,Guastatoya,,
2789,SC Internacional U20,,2562.0,Estádio Morada dos Quero-Queros,Alvorada,3000.0,
2644,Black Bulls Maputo,,2282.0,Matola Stadium,Matola,,
