competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1215,1. HNL (HR),850939,Ivan Barić,I. Barić,2007-01-10,27.77,7.64,6.87,10,9,1,109.0,12.11,0.0,0.22,37.0,4.11,3.67,89.19,87.27,14.08,0.11,1.33,0.67,0.0,0.11,0.67,0.22,0.11,3.22,1.11,0.89,80.0,78.79,0.0,0.0,3.22,0.33,66.67,0.22,0.44
1215,1. HNL (HR),852577,Rene Hrvatin,R. Hrvatin,2006-12-08,56.75,16.38,14.96,5,5,0,250.0,50.0,0.2,1.2,80.0,16.0,12.0,75.0,72.55,16.01,1.0,3.8,3.0,0.2,0.6,6.0,2.0,1.6,14.4,5.4,4.2,77.78,71.76,0.6,0.2,10.6,3.2,56.25,1.8,6.2
1215,1. HNL (HR),855806,Igor Lepinjica,I. Lepinjica,1999-07-09,44.5,11.55,12.17,27,26,1,812.0,31.23,0.12,0.88,225.0,8.65,6.42,74.22,78.43,13.63,0.38,2.81,1.35,0.35,0.31,2.12,0.27,0.19,8.65,2.81,1.88,67.12,71.86,0.46,0.12,7.35,1.65,55.81,0.92,2.23
1215,1. HNL (HR),857055,Mody Boune,M. Boune,2002-03-08,39.63,11.08,10.29,7,7,0,276.0,39.43,0.14,0.43,78.0,11.14,8.57,76.92,78.89,15.82,0.29,2.0,1.43,0.29,0.0,5.86,0.71,0.57,13.43,3.57,2.86,80.0,74.61,0.29,0.0,8.71,2.29,25.0,0.57,3.14
1215,1. HNL (HR),866695,Israel Isaac Ayuma,I. Ayuma,2005-08-08,52.82,14.71,14.04,16,16,0,963.0,60.19,0.06,0.62,277.0,17.31,15.44,89.17,89.62,15.83,1.19,4.12,3.81,0.12,0.19,9.31,1.5,1.12,6.81,2.06,1.69,81.82,76.4,0.25,0.0,5.44,0.88,57.14,0.5,2.0
1215,1. HNL (HR),866696,Luka Mamić,L. Mamić,2002-08-02,73.29,17.78,22.29,29,29,0,1794.0,61.86,0.17,2.14,570.0,19.66,15.83,80.53,82.05,14.56,0.97,6.59,3.69,0.72,0.69,3.76,0.93,0.72,18.38,6.34,5.1,80.44,77.14,1.1,0.1,16.31,4.0,65.52,2.62,3.97
1215,1. HNL (HR),867628,Filip Taraba,F. Taraba,2006-06-29,51.94,13.57,13.95,22,22,0,1528.0,69.45,0.0,0.27,585.0,26.59,22.36,84.1,88.08,16.1,1.18,4.82,5.45,0.05,0.14,18.05,5.18,3.55,10.77,4.41,3.41,77.32,76.96,0.09,0.0,3.32,0.91,25.0,0.23,4.27
1215,1. HNL (HR),879568,Luka Posinković,L. Posinković,2003-07-11,59.09,12.29,18.85,5,5,0,170.0,34.0,0.2,0.6,64.0,12.8,8.2,64.06,71.86,17.74,1.2,3.2,3.2,0.4,0.8,4.0,1.4,0.8,10.2,4.2,2.4,57.14,59.42,0.6,0.2,4.6,2.0,30.0,0.6,5.2
1215,1. HNL (HR),880786,Hadji Isaa Moustapha,H. Moustapha,2003-12-04,93.03,19.98,28.84,2,2,0,141.0,70.5,0.0,0.0,56.0,28.0,25.0,89.29,92.1,16.48,2.0,4.0,10.0,0.0,0.5,17.5,4.0,3.0,8.0,4.5,4.0,88.89,88.63,0.0,0.0,3.5,0.5,100.0,0.5,1.0
1215,1. HNL (HR),894700,Sule Wisdom Aondowase,S. Aondowase,2003-12-21,40.58,9.74,12.8,13,13,0,181.0,13.92,0.08,0.23,41.0,3.15,2.38,75.61,77.56,11.3,0.08,1.23,0.31,0.23,0.08,0.31,0.08,0.08,6.15,1.46,1.0,68.42,68.62,0.23,0.08,4.69,0.92,58.33,0.54,0.77
1215,1. HNL (HR),901773,Vinko Rozic,V. Rozic,2003-08-01,61.72,17.1,16.68,27,27,0,1398.0,51.78,0.11,0.85,421.0,15.59,11.93,76.48,79.04,14.3,0.52,4.41,2.07,0.44,0.3,2.78,0.56,0.44,16.19,4.85,3.33,68.7,70.74,0.33,0.07,16.81,3.41,43.48,1.48,3.89
1215,1. HNL (HR),902316,Theo Epailly,T. Epailly,1999-02-10,33.46,8.11,9.88,14,14,0,334.0,23.86,0.07,0.36,80.0,5.71,3.79,66.25,76.64,13.32,0.29,1.29,0.86,0.14,0.21,1.07,0.29,0.29,7.57,1.64,1.0,60.87,76.73,0.21,0.0,6.64,1.5,23.81,0.36,1.64
1215,1. HNL (HR),920773,Medin Gashi,M. Gashi,2006-02-01,17.09,5.48,2.91,15,14,1,120.0,8.57,0.0,0.29,38.0,2.71,1.79,65.79,80.55,12.18,0.0,1.21,0.43,0.21,0.14,0.5,0.14,0.14,2.64,1.0,0.64,64.29,78.67,0.21,0.0,3.43,0.57,37.5,0.21,0.36
1215,1. HNL (HR),925321,Niko Šepić,N. Šepić,2006-02-06,52.75,15.49,12.92,13,13,0,790.0,60.77,0.0,0.54,269.0,20.69,16.31,78.81,83.35,16.59,1.08,5.08,3.46,0.54,0.23,11.46,2.38,1.46,12.69,5.15,3.85,74.63,71.16,0.23,0.0,6.92,1.62,28.57,0.46,4.31
1215,1. HNL (HR),925325,Josip Brundić,J. Brundić,2007-05-05,21.86,6.48,5.72,1,1,0,24.0,24.0,1.0,2.0,9.0,9.0,8.0,88.89,83.84,16.67,0.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,13.0,5.0,4.0,80.0,84.43,0.0,0.0,5.0,1.0,100.0,1.0,2.0
1215,1. HNL (HR),933118,Franjo Posavac,F. Posavac,2002-08-30,51.59,10.75,15.73,3,3,0,68.0,22.67,0.0,0.0,23.0,7.67,6.0,78.26,74.88,21.14,1.33,3.0,1.0,0.33,0.0,3.67,1.0,0.33,8.0,2.67,1.33,50.0,64.84,0.0,0.0,2.0,0.33,100.0,0.33,2.67
1215,1. HNL (HR),946277,Sven Šunta,S. Šunta,2007-05-07,17.08,5.74,4.57,6,6,0,153.0,25.5,0.0,0.17,53.0,8.83,8.17,92.45,88.35,15.44,0.5,2.0,1.17,0.33,0.0,3.0,1.0,0.67,6.17,2.83,2.67,94.12,84.53,0.17,0.0,4.17,1.0,66.67,0.67,1.0
1215,1. HNL (HR),950279,Ibrahim Mohammad Abdallah Sabra,I. Sabra,2006-02-01,59.33,15.94,15.64,13,12,1,277.0,23.08,0.08,1.0,80.0,6.67,4.42,66.25,72.52,13.0,0.25,2.42,0.42,0.42,0.0,0.75,0.17,0.0,10.83,3.33,2.17,65.0,71.19,0.75,0.08,8.83,2.0,62.5,1.25,2.08
