competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1265,Primeira Liga (PT),60508,Ole Pohlmann,O. Pohlmann,2001-04-05,59.07,15.7,16.02,31,31,0,683.0,22.03,0.48,0.0,6.16,4.39,13.74,4.71,2.26,6.52,1.48,0.52
1265,Primeira Liga (PT),60571,Boris Popović,B. Popović,2000-02-26,73.86,17.52,21.4,17,16,1,80.0,5.0,0.06,0.0,1.69,1.62,10.71,0.38,0.12,0.19,0.12,0.12
1265,Primeira Liga (PT),61212,Gonçalo Lago Pontes Esteves,Gonçalo Esteves,2004-02-27,37.27,9.03,11.51,5,5,0,44.0,8.8,0.0,0.0,2.6,2.0,14.2,2.6,0.2,1.2,0.4,0.2
1265,Primeira Liga (PT),61335,Francisco Jorge Tavares Oliveira,Chiquinho,2000-02-05,78.7,18.36,22.82,19,19,0,416.0,21.89,0.84,0.16,9.42,6.32,14.15,7.74,2.58,9.26,3.79,1.95
1265,Primeira Liga (PT),61581,Roger  Fernandes,Roger,2005-11-21,87.97,33.34,15.54,4,4,0,148.0,37.0,1.75,0.0,12.75,9.25,12.9,11.75,5.25,12.0,2.25,1.75
1265,Primeira Liga (PT),61681,Tomás Romano Pereira dos Santos Händel,Tomás Händel,2000-11-27,104.72,24.24,21.6,3,2,1,43.0,21.5,0.5,0.0,5.5,5.0,12.02,4.5,2.0,4.0,0.5,0.5
1265,Primeira Liga (PT),62124,Rodrigo Fernandes da Conceição,Rodrigo Conceição,2000-01-02,79.38,18.08,22.98,20,20,0,399.0,19.95,0.5,0.0,7.25,5.4,14.08,6.05,1.3,4.75,1.25,0.6
1265,Primeira Liga (PT),62147,Gabriel  Martínez Aguilera,Gabri Martínez,2003-01-22,52.31,17.79,11.77,28,28,0,636.0,22.71,0.96,0.04,9.75,7.11,12.87,7.39,2.32,7.79,2.79,1.79
1265,Primeira Liga (PT),62355,Miguel Puche García,Miguel Puche,2001-04-30,34.81,7.78,9.52,27,26,1,283.0,10.88,0.27,0.0,3.62,2.46,15.1,3.58,1.35,3.42,0.96,0.35
1265,Primeira Liga (PT),63077,Gustaf Lagerbielke,G. Lagerbielke,2000-04-10,94.14,31.89,20.84,28,28,0,515.0,18.39,0.07,0.0,6.14,5.86,10.61,1.61,0.21,0.43,0.14,0.07
1265,Primeira Liga (PT),63449,Jean-Baptiste Gorby,J. Gorby,2002-07-25,67.81,22.72,14.84,28,28,0,664.0,23.71,0.32,0.07,6.43,5.89,10.95,1.89,0.79,1.93,0.43,0.39
1265,Primeira Liga (PT),64191,Marko Milovanović,M. Milovanović,2003-08-04,53.93,12.35,15.07,30,30,0,656.0,21.87,0.6,0.17,6.33,3.3,14.98,7.43,4.6,11.67,3.07,1.27
1265,Primeira Liga (PT),64677,Jakub Kiwior,J. Kiwior,2000-02-15,93.98,27.46,22.11,26,26,0,335.0,12.88,0.08,0.0,4.69,4.5,11.67,1.27,0.31,0.77,0.15,0.12
1265,Primeira Liga (PT),67659,Alioune Ndoye,A. Ndoye,2001-10-05,48.1,11.9,11.07,24,22,2,297.0,13.5,0.36,0.05,3.45,1.5,14.2,4.59,3.95,8.91,1.91,0.68
1265,Primeira Liga (PT),67818,Geny Cipriano Catamo,Geny Catamo,2001-01-26,72.27,23.77,15.42,29,28,1,710.0,25.36,1.32,0.18,10.21,8.11,12.67,6.79,3.11,5.71,1.82,0.93
1265,Primeira Liga (PT),68367,João Pedro Goulart Silva,João Goulart,2000-01-27,84.96,15.91,25.21,25,24,1,102.0,4.25,0.0,0.0,1.62,1.46,11.49,0.79,0.25,0.21,0.04,0.0
1265,Primeira Liga (PT),68537,Marcus Abraham Ayomide,M. Ayomide,2000-01-02,89.97,21.85,22.5,31,30,1,508.0,16.93,0.67,0.07,6.47,5.0,15.4,4.67,1.73,4.2,1.2,0.87
1265,Primeira Liga (PT),68572,Alan Godoy Domínguez,A. Godoy,2003-05-04,56.48,13.26,12.73,6,6,0,75.0,12.5,0.5,0.0,4.0,2.0,13.64,4.33,3.17,7.0,1.5,0.67
1265,Primeira Liga (PT),68972,Demir Ege Tıknaz,E. Tıknaz,2004-08-17,54.15,17.22,12.35,10,10,0,150.0,15.0,0.4,0.1,4.7,4.5,12.16,1.3,0.9,1.7,0.3,0.1
1265,Primeira Liga (PT),69027,Ivan Correia Posser Lima,Ivan Lima,2005-01-13,16.58,4.79,3.2,1,1,0,13.0,13.0,0.0,0.0,4.0,4.0,17.78,6.0,3.0,4.0,1.0,1.0
1265,Primeira Liga (PT),69030, João de Vasconcelos Faria Gonçalves,Vasconcelos,2005-02-26,47.82,12.05,10.18,1,1,0,29.0,29.0,0.0,0.0,5.0,2.0,10.84,7.0,0.0,2.0,0.0,0.0
1265,Primeira Liga (PT),69031,João Miguel Fins Veloso,João Veloso,2005-06-26,2.27,1.02,0.37,2,2,0,6.0,3.0,0.0,0.0,0.0,0.0,13.74,0.5,0.5,1.5,0.0,0.0
1265,Primeira Liga (PT),69038,Francisco Edgar Chissumba Rodrigues,Francisco Chissumba,2005-05-29,87.88,20.53,25.43,18,18,0,532.0,29.56,0.56,0.0,9.56,7.56,15.04,10.11,1.22,6.39,1.72,1.0
1265,Primeira Liga (PT),69039,João Pedro Seno Luís Rêgo,João Rêgo,2005-06-20,12.53,2.61,2.75,8,8,0,41.0,5.12,0.0,0.0,1.25,1.0,14.51,1.75,0.62,1.88,0.38,0.25
1265,Primeira Liga (PT),69286,Arnau Solà Mateu,Arnau Solà,2003-04-04,63.51,16.82,17.33,10,10,0,185.0,18.5,0.5,0.0,6.9,5.4,14.54,5.2,1.4,4.4,1.3,1.1
1265,Primeira Liga (PT),69521,Martín Fernández Benítez,M. Fernández,2003-06-23,31.94,7.31,6.99,26,25,1,289.0,11.56,0.2,0.04,3.0,2.32,13.96,3.84,1.68,4.48,1.0,0.64
1265,Primeira Liga (PT),70165,André Luiz Inácio da Silva,André Luiz,2002-02-23,84.84,20.85,23.54,19,19,0,627.0,33.0,1.63,0.42,11.63,7.53,15.34,11.95,5.11,11.47,3.84,1.84
1265,Primeira Liga (PT),70245,Samuel Dahl,S. Dahl,2003-03-04,96.02,27.78,21.54,33,32,1,920.0,28.75,0.66,0.0,9.53,8.53,13.62,7.94,2.62,6.5,1.47,1.09
1265,Primeira Liga (PT),70674,Rodrigo Alonso Martín,Rodri Alonso,2003-01-04,61.75,17.03,17.14,26,24,2,615.0,25.62,0.38,0.17,6.75,4.96,13.5,5.42,2.0,5.83,1.04,0.46
1265,Primeira Liga (PT),70678,Antonio Espigares Morillas,Antonio Espigares,2004-09-05,60.28,14.59,13.93,19,19,0,78.0,4.11,0.0,0.0,0.95,0.89,13.33,0.26,0.32,0.37,0.05,0.0
1265,Primeira Liga (PT),71799,Dailon Rocha Livramento do Rosario,Dailon Livramento,2001-05-04,45.25,9.19,11.41,24,24,0,332.0,13.83,0.42,0.0,5.17,2.38,13.66,4.96,2.58,7.42,2.12,0.75
1265,Primeira Liga (PT),72479,Makan Aïko,M. Aïko,2001-01-07,64.96,15.35,18.83,18,18,0,359.0,19.94,0.72,0.11,7.72,5.5,14.69,6.56,2.22,6.22,2.06,1.33
1265,Primeira Liga (PT),77791,Nor-Nor Emmanuel Maviram,E. Maviram,2001-04-04,79.78,16.88,24.26,20,20,0,289.0,14.45,0.4,0.0,4.25,3.55,14.54,3.85,0.6,2.25,0.45,0.4
1265,Primeira Liga (PT),81001,Benjamin Mbunga-Kimpioka,B. Kimpioka,2000-02-21,62.15,14.6,16.26,10,10,0,228.0,22.8,0.2,0.0,6.4,3.0,14.69,6.9,3.6,10.3,2.5,0.4
1265,Primeira Liga (PT),82407,Kaiky Marques Naves,Naves,2002-05-08,97.83,22.44,28.96,31,31,0,237.0,7.65,0.19,0.03,3.1,3.0,11.41,1.13,0.13,0.26,0.16,0.13
1265,Primeira Liga (PT),82410,Kaique Pereira Azarias,Kaique,2003-04-16,101.08,22.63,26.6,28,25,3,26.0,1.04,0.0,0.0,0.32,0.32,6.94,0.04,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),84608,Rômulo Helberte Pereira Júnior,Rômulo,2004-01-31,13.48,1.87,1.59,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,1.0,0.0,0.0
1265,Primeira Liga (PT),92590,Óscar Rivas Viondi,Óscar Rivas,2000-03-27,99.62,26.28,24.06,18,18,0,208.0,11.56,0.11,0.06,3.61,3.61,13.37,1.56,0.61,1.0,0.11,0.11
1265,Primeira Liga (PT),94117,Isaac Souza Valença,Isaac,2004-03-21,21.09,5.42,5.04,2,2,0,20.0,10.0,0.0,0.0,0.5,0.0,16.58,3.0,1.0,2.0,0.5,0.0
1265,Primeira Liga (PT),95195,Miguel Ferreira de Sousa,Miguel Sousa,1998-09-19,33.29,7.64,7.93,12,12,0,161.0,13.42,0.25,0.0,3.0,2.17,14.53,3.42,1.33,3.42,0.58,0.17
1265,Primeira Liga (PT),95613,Alan de Souza Guimarães,Alan,2000-03-08,87.18,22.69,24.63,33,31,2,899.0,29.0,0.65,0.06,10.0,7.68,13.39,6.9,2.87,8.06,2.03,1.06
1265,Primeira Liga (PT),96062,Kobamelo Kodisang,K. Kodisang,1999-08-28,35.99,8.84,9.54,4,4,0,48.0,12.0,0.0,0.0,3.25,2.25,14.52,2.75,2.25,4.75,1.25,0.75
1265,Primeira Liga (PT),96063,Leonardo Daniel Ulineia Buta,Leonardo Buta,2002-06-05,9.55,1.18,3.04,3,3,0,4.0,1.33,0.0,0.0,0.67,0.67,6.65,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),96064,Dinis Lourenço Casals Namura Borges Pinto,Dinis Pinto,2000-08-24,95.75,24.76,25.97,22,21,1,575.0,27.38,0.67,0.1,9.48,7.48,14.05,8.52,2.1,4.71,1.1,0.81
1265,Primeira Liga (PT),97322,Iván Fresneda Corraliza,Iván Fresneda,2004-09-28,76.6,24.55,16.19,23,22,1,778.0,35.36,0.95,0.05,10.5,8.91,15.41,11.5,4.32,7.41,1.82,1.23
1265,Primeira Liga (PT),100774,Tomás Mendes Mendes,T. Mendes,2004-11-21,70.27,12.97,20.25,5,5,0,49.0,9.8,0.0,0.0,1.4,1.4,11.61,1.2,0.0,0.2,0.0,0.0
1265,Primeira Liga (PT),103498,João Miguel Teixeira Mendes,João Mendes,2000-04-13,91.1,23.34,22.57,29,27,2,574.0,21.26,0.52,0.04,6.3,5.56,14.07,5.37,1.63,4.56,1.0,0.74
1265,Primeira Liga (PT),105825,Franjo Ivanović,F. Ivanović,2003-10-01,41.34,12.29,8.3,25,24,1,467.0,19.46,0.79,0.17,6.38,4.25,13.26,6.25,5.0,8.96,3.04,1.62
1265,Primeira Liga (PT),107651,Miguel Ângelo Gomes Ferreira Magalhães,Maga,2002-11-16,79.0,20.05,18.53,22,21,1,437.0,20.81,0.33,0.0,6.71,5.38,14.82,6.1,1.71,3.1,0.81,0.48
1265,Primeira Liga (PT),109444,Oumar Ngom,O. Ngom,2004-03-09,83.14,19.28,20.63,11,10,1,123.0,12.3,0.0,0.0,2.9,2.9,9.97,0.9,0.4,1.0,0.0,0.0
1265,Primeira Liga (PT),118016,Matías Emiliano Rocha Calderón,M. Rocha,2001-02-13,85.26,22.09,20.83,11,11,0,79.0,7.18,0.0,0.0,2.36,2.18,10.79,0.64,0.36,0.45,0.27,0.09
1265,Primeira Liga (PT),123995,Brayan Stiven Medina Hurtado,B. Medina,2002-03-04,97.45,21.84,27.05,25,25,0,125.0,5.0,0.12,0.0,1.2,1.08,11.44,0.8,0.28,0.52,0.12,0.12
